symbol_name,Precision,Description,ContractSize,MarginMode,security,MarginCurrency,ProfitCurrency,minVolFilter
ACN,2,Accenture Plc Class A (ACN),1,1,US Stocks & ETFs,ACN,USD,100
ADBE,2,Adobe Inc. (ADBE),1,1,US Stocks & ETFs,ADBE,USD,100
ADI,2,Analog Devices Inc. (ADI),1,1,US Stocks & ETFs,ADI,USD,100
ADM,2,Archer-Daniels-Midland Co. (ADM),1,1,US Stocks & ETFs,ADM,USD,100
ADP,2,Automatic Data Processing Inc. (ADP),1,1,US Stocks & ETFs,ADP,USD,100
ADS,2,Bread Financial Holdings Inc. (BFH),1,1,US Stocks & ETFs,ADS,USD,100
ADSK,2,Autodesk Inc. (ADSK),1,1,US Stocks & ETFs,ADSK,USD,100
AEE,2,Ameren Corp. (AEE),1,1,US Stocks & ETFs,AEE,USD,100
AEP,2,American Electric Power Co. Inc. (AEP),1,1,US Stocks & ETFs,AEP,USD,100
AES,2,AES Corp. (AES),1,1,US Stocks & ETFs,AES,USD,100
